DM Sigma Time Sample Downfact
0.00 11.34 4.419774 67502 14
0.00 7.01 4.449762 67960 14
0.00 6.97 4.479946 68421 14
0.00 13.04 4.539988 69338 14
0.00 5.40 4.540512 69346 14
0.00 13.46 4.600161 70257 14
0.00 8.32 4.630214 70716 14
0.00 8.23 4.690125 71631 9
0.00 5.10 4.690452 71636 9
0.00 9.40 4.720179 72090 6
0.00 9.07 4.750429 72552 9
0.00 7.59 4.780351 73009 14
0.00 13.18 4.900238 74840 14
0.00 13.95 4.930488 75302 14
0.00 5.82 4.931012 75310 14
0.00 8.90 4.960673 75763 14
0.00 7.12 4.990857 76224 9
0.00 5.28 4.999304 76353 70
0.00 7.24 5.021369 76690 14
0.00 8.26 5.051685 77153 6
0.00 13.56 5.082262 77620 14
0.00 13.15 5.112577 78083 9
0.00 5.49 5.113101 78091 14
0.00 8.86 5.142958 78547 14
0.00 5.80 5.143482 78555 14
0.00 7.40 5.173732 79017 14
0.00 10.38 5.204048 79480 14
0.00 7.50 5.26481 80408 6
0.00 9.81 5.295387 80875 14
0.00 5.66 5.295911 80883 14
0.00 6.33 5.326095 81344 14
0.00 8.33 5.356607 81810 6
0.00 8.10 5.387446 82281 9
0.00 5.99 5.418613 82757 6
0.00 6.49 5.449911 83235 9
0.00 8.31 5.480685 83705 14
0.00 6.83 5.541708 84637 9
0.00 6.07 5.572351 85105 4
0.00 6.89 5.602732 85569 9
0.00 8.65 5.633179 86034 9
0.00 6.00 5.633506 86039 9
0.00 8.47 5.664018 86505 6
0.00 6.31 5.69453 86971 14
0.00 10.09 5.724976 87436 9
0.00 7.14 5.755554 87903 9
0.00 9.31 5.816839 88839 14
0.00 12.30 5.847613 89309 9
0.00 5.89 5.908702 90242 14
0.00 5.36 5.938887 90703 2
0.00 5.33 5.969595 91172 14
0.00 8.09 6.030946 92109 9
0.00 10.59 6.061262 92572 9
0.00 5.31 6.091905 93040 100
0.00 5.39 6.137673 93739 100
0.00 5.06 6.153518 93981 3
0.00 8.69 6.185732 94473 100
0.00 9.93 6.215262 94924 14
0.00 8.02 6.232613 95189 100
0.00 6.26 6.279363 95903 100
0.00 6.21 6.307649 96335 14
0.00 5.89 6.328405 96652 150
0.00 6.40 6.374042 97349 45
0.00 10.48 6.400429 97752 9
0.00 5.95 6.421708 98077 100
0.00 8.17 6.431726 98230 14
0.00 5.76 6.475792 98903 100
0.00 9.72 6.493732 99177 9
0.00 8.66 6.524506 99647 30
0.00 5.72 6.525554 99663 30
0.00 7.53 6.555476 100120 9
0.00 5.62 6.57597 100433 100
0.00 12.10 6.586446 100593 9
0.00 6.94 6.616762 101056 9
0.00 5.87 6.617286 101064 14
0.00 9.44 6.678506 101999 14
0.00 5.78 6.708952 102464 9
0.00 8.10 6.739399 102929 9
0.00 11.23 6.769911 103395 20
0.00 6.67 6.783661 103605 70
0.00 10.23 6.80003 103855 6
0.00 6.63 6.800292 103859 6
0.00 10.97 6.828185 104285 100
0.00 8.69 6.831655 104338 100
0.00 5.80 6.860726 104782 4
0.00 6.97 6.890714 105240 6
0.00 9.38 6.92103 105703 70
0.00 11.37 6.951542 106169 9
0.00 9.13 6.968631 106430 100
0.00 9.01 6.981792 106631 14
0.00 7.66 7.015119 107140 100
0.00 6.72 7.063113 107873 100
0.00 12.53 7.072804 108021 14
0.00 12.07 7.103381 108488 14
0.00 7.74 7.133958 108955 14
0.00 9.13 7.163946 109413 9
0.00 5.70 7.164274 109418 6
0.00 7.01 7.225232 110349 14
0.00 6.03 7.255679 110814 14
0.00 11.67 7.286256 111281 9
0.00 6.17 7.286583 111286 9
0.00 11.26 7.316637 111745 14
0.00 7.11 7.317161 111753 14
0.00 8.38 7.377333 112672 9
0.00 10.26 7.407976 113140 14
0.00 7.81 7.438292 113603 6
0.00 14.39 7.469196 114075 14
0.00 11.49 7.499512 114538 9
0.00 5.77 7.499839 114543 9
0.00 7.80 7.529958 115003 6
0.00 8.76 7.560732 115473 9
0.00 8.10 7.591244 115939 9
0.00 10.06 7.621625 116403 6
0.00 6.25 7.683369 117346 9
0.00 7.85 7.713488 117806 14
0.00 5.44 7.744065 118273 14
0.00 6.61 7.774774 118742 20
0.00 6.11 7.80581 119216 9
0.00 8.47 7.836518 119685 14
0.00 6.61 7.867292 120155 20
0.00 5.13 7.898065 120625 6
0.00 8.69 7.928512 121090 14
0.00 7.61 7.958893 121554 9
0.00 8.43 7.989274 122018 4
0.00 9.39 8.01972 122483 6
0.00 5.80 8.019982 122487 6
0.00 8.19 8.05056 122954 9
0.00 11.55 8.080613 123413 14
0.00 7.91 8.111125 123879 14
0.00 5.28 8.170446 124785 45
0.00 8.11 8.20194 125266 14
0.00 7.33 8.23206 125726 3
0.00 7.93 8.262244 126187 2
0.00 8.45 8.293018 126657 14
0.00 8.24 8.323006 127115 9
0.00 6.77 8.383833 128044 14
0.00 9.28 8.474976 129436 14
0.00 8.99 8.535607 130362 14
0.00 7.12 8.596827 131297 6
0.00 5.75 8.657524 132224 14
0.00 7.93 8.688036 132690 9
0.00 6.63 8.718155 133150 6
0.00 11.81 8.748863 133619 14
0.00 5.34 8.804649 134471 1
0.00 5.07 8.809429 134544 3
0.00 9.21 8.839482 135003 9
0.00 11.36 8.869601 135463 6
0.00 5.04 8.899982 135927 14
0.00 8.85 8.930429 136392 14
0.00 5.24 8.930952 136400 14
0.00 9.74 8.960744 136855 14
0.00 10.25 8.990732 137313 9
0.00 9.31 9.021048 137776 9
0.00 6.56 9.051232 138237 14
0.00 9.58 9.081417 138698 14
0.00 10.55 9.111536 139158 14
0.00 10.48 9.14172 139619 14
0.00 12.82 9.171315 140071 14
0.00 6.13 9.171839 140079 14
0.00 6.27 9.201304 140529 9
0.00 6.56 9.231423 140989 14
0.00 6.15 9.247137 141229 1
0.00 7.23 9.261018 141441 3
0.00 6.48 9.291464 141906 14
0.00 6.30 9.321911 142371 6
0.00 7.07 9.381887 143287 9
0.00 9.44 9.472702 144674 9
0.00 13.97 9.503214 145140 14
0.00 6.41 9.503738 145148 14
0.00 5.51 9.534185 145613 14
0.00 7.11 9.564107 146070 9
0.00 8.47 9.594685 146537 9
0.00 5.95 9.625655 147010 9
0.00 6.65 9.655643 147468 9
0.00 11.76 9.686482 147939 9
0.00 10.48 9.716798 148402 14
0.00 8.19 9.747179 148866 14
0.00 11.24 9.777363 149327 14
0.00 6.57 9.807482 149787 6
0.00 11.29 9.837994 150253 6
0.00 5.66 9.838256 150257 6
0.00 10.91 9.868571 150720 9
0.00 10.51 9.898952 151184 14
0.00 7.08 9.929399 151649 14
0.00 5.87 9.959845 152114 6
0.00 9.90 9.990815 152587 14
0.00 7.68 10.021524 153056 9
0.00 5.06 10.054393 153558 70
0.00 10.35 10.083464 154002 9
0.00 8.44 10.114238 154472 9
0.00 10.00 10.144946 154941 9
0.00 9.48 10.206101 155875 14
0.00 14.63 10.236679 156342 14
0.00 6.91 10.266929 156804 14
0.00 7.69 10.297506 157271 6
0.00 7.44 10.32828 157741 9
0.00 9.81 10.359577 158219 14
0.00 8.86 10.390351 158689 6
0.00 8.19 10.421976 159172 9
0.00 11.72 10.453143 159648 14
0.00 8.23 10.483917 160118 6
0.00 8.23 10.515149 160595 9
0.00 5.19 10.571851 161461 70
0.00 6.47 10.608125 162015 6
0.00 10.14 10.637917 162470 9
0.00 7.14 10.668363 162935 14
0.00 5.27 10.698548 163396 6
0.00 9.50 10.759244 164323 14
0.00 10.06 10.819744 165247 9
0.00 12.70 10.849994 165709 14
0.00 7.23 10.880113 166169 14
0.00 5.48 10.910429 166632 14
0.00 8.60 10.940286 167088 9
0.00 5.41 10.970732 167553 9
0.00 5.38 11.030315 168463 6
0.00 6.73 11.060173 168919 9
0.00 8.68 11.090226 169378 14
0.00 8.18 11.120476 169840 9
0.00 5.84 11.120804 169845 9
0.00 10.14 11.150464 170298 14
0.00 5.32 11.150988 170306 14
0.00 9.19 11.18078 170761 9
0.00 10.01 11.211292 171227 14
0.00 6.90 11.223994 171421 100
0.00 7.56 11.241607 171690 20
0.00 10.58 11.272315 172159 14
0.00 5.46 11.31769 172852 100
0.00 11.69 11.33275 173082 14
0.00 12.39 11.363262 173548 14
0.00 10.01 11.393446 174009 14
0.00 9.26 11.423435 174467 9
0.00 7.31 11.457679 174990 150
0.00 8.19 11.483542 175385 9
0.00 8.01 11.505018 175713 70
0.00 5.03 11.507375 175749 70
0.00 9.51 11.513923 175849 6
0.00 9.61 11.543911 176307 14
0.00 6.91 11.555893 176490 100
0.00 11.67 11.574226 176770 14
0.00 8.63 11.604804 177237 14
0.00 9.79 11.635119 177700 9
0.00 6.27 11.657643 178044 45
0.00 5.70 11.665631 178166 4
0.00 10.44 11.696667 178640 9
0.00 5.70 11.707863 178811 70
0.00 12.36 11.726917 179102 9
0.00 8.36 11.758149 179579 30
0.00 7.25 11.788202 180038 14
0.00 5.72 11.81053 180379 150
0.00 5.05 11.859833 181132 100
0.00 9.92 11.879738 181436 14
0.00 9.17 11.910054 181899 9
0.00 5.36 11.940958 182371 9
0.00 5.70 11.957065 182617 100
0.00 8.53 11.971077 182831 9
0.00 13.79 12.001851 183301 14
0.00 6.95 12.002375 183309 14
0.00 6.69 12.005714 183360 70
0.00 8.90 12.063202 184238 14
0.00 10.53 12.093452 184700 6
0.00 5.30 12.094107 184710 6
0.00 7.62 12.143083 185458 100
0.00 8.77 12.155131 185642 14
0.00 6.59 12.216286 186576 9
0.00 12.28 12.246994 187045 9
0.00 7.98 12.247321 187050 9
0.00 7.40 12.277768 187515 14
0.00 7.74 12.308476 187984 14
0.00 9.98 12.339381 188456 14
0.00 10.50 12.370155 188926 14
0.00 5.19 12.401125 189399 6
0.00 10.61 12.462542 190337 9
0.00 7.93 12.49325 190806 9
0.00 7.07 12.523958 191275 9
0.00 9.88 12.58544 192214 14
0.00 6.20 12.646595 193148 9
0.00 6.03 12.677304 193617 9
0.00 7.22 12.738917 194558 9
0.00 7.18 12.769756 195029 6
0.00 8.33 12.800726 195502 3
0.00 10.44 12.831696 195975 6
0.00 5.31 12.831958 195979 6
0.00 7.13 12.862274 196442 6
0.00 10.32 12.893375 196917 14
0.00 5.18 12.924345 197390 9
0.00 11.78 12.95453 197851 6
0.00 5.18 12.982161 198273 1
0.00 9.94 12.985631 198326 14
0.00 8.84 13.015685 198785 9
0.00 10.10 13.046262 199252 9
0.00 5.98 13.076577 199715 9
0.00 5.21 13.089935 199919 4
0.00 6.98 13.106631 200174 3
0.00 6.14 13.137274 200642 14
0.00 5.03 13.167131 201098 2
0.00 7.19 13.197577 201563 9
0.00 6.23 13.227762 202024 9
0.00 10.98 13.258077 202487 20
0.00 8.28 13.317988 203402 4
0.00 5.01 13.318315 203407 9
0.00 8.03 13.348238 203864 14
0.00 9.10 13.378226 204322 9
0.00 5.43 13.408673 204787 20
0.00 10.65 13.438661 205245 14
0.00 6.65 13.468256 205697 3
0.00 5.45 13.498702 206162 6
0.00 9.33 13.529214 206628 14
0.00 10.47 13.559595 207092 14
0.00 9.96 13.589714 207552 9
0.00 5.25 13.590042 207557 9
0.00 8.95 13.650411 208479 9
0.00 5.69 13.650738 208484 9
0.00 13.93 13.680857 208944 14
0.00 13.55 13.741423 209869 14
0.00 11.59 13.771411 210327 9
0.00 10.47 13.801595 210788 9
0.00 8.64 13.831714 211248 14
0.00 9.47 13.861899 211709 9
0.00 11.14 13.892411 212175 14
0.00 8.60 13.922857 212640 14
0.00 7.02 13.953369 213106 14
0.00 5.81 13.984536 213582 4
0.00 9.49 14.014458 214039 6
0.00 5.64 14.01472 214043 6
0.00 9.06 14.045167 214508 9
0.00 12.99 14.076202 214982 14
0.00 6.18 14.076726 214990 14
0.00 9.28 14.10678 215449 9
0.00 6.39 14.107107 215454 9
0.00 10.58 14.137619 215920 14
0.00 12.02 14.168262 216388 14
0.00 7.17 14.198577 216851 9
0.00 6.45 14.229089 217317 6
0.00 11.44 14.259536 217782 14
0.00 9.24 14.289917 218246 9
0.00 6.61 14.32069 218716 14
0.00 8.30 14.35081 219176 9
0.00 8.48 14.38119 219640 6
0.00 5.63 14.411899 220109 14
0.00 11.00 14.442804 220581 20
0.00 8.05 14.473185 221045 9
0.00 11.93 14.503827 221513 14
0.00 6.90 14.565048 222448 14
0.00 8.17 14.595429 222912 14
0.00 7.21 14.686375 224301 4
